6,0 6,0 6,0 6,0 6,0 6,0 6,0 6,0 6,0 6,0 6,0 6,0 6,0 6,0 6,0 6,0 6,0 6,0 6,0 6,0
6,0 6,0 6,0 6,0 6,0 6,0 6,0 6,0 6,0 6,0 6,0 6,0 6,0 6,0 6,0 6,0 6,0 6,0 6,0 6,0
6,0 6,0 6,0 6,0 6,0 6,0 6,0 6,0 6,0 6,0 6,0 6,0 6,0 6,0 6,0 6,0 6,0 6,0 6,0 6,0
6,0 6,0 6,0 6,0 x,x x,x x,x x,x x,x x,x x,x x,x x,x x,x x,x x,x 6,0 6,0 6,0 6,0
6,0 6,0 6,0 6,0 x,x x,x x,x x,x x,x x,x x,x x,x x,x x,x x,x x,x 6,0 6,0 6,0 6,0
6,0 6,0 6,0 6,0 x,x x,x x,x x,x x,x x,x x,x x,x x,x x,x x,x x,x 6,0 6,0 6,0 6,0
6,0 6,0 6,0 6,0 x,x x,x x,x x,x x,x x,x x,x x,x x,x x,x x,x x,x 6,0 6,0 6,0 6,0
6,0 6,0 6,0 6,0 x,x x,x x,x x,x x,x x,x x,x x,x x,x x,x x,x x,x 6,0 6,0 6,0 6,0
6,0 6,0 6,0 6,0 x,x x,x x,x x,x x,x x,x x,x x,x x,x x,x x,x x,x 6,0 6,0 6,0 6,0
6,0 6,0 6,0 6,0 x,x x,x x,x x,x x,x x,x x,x x,x x,x x,x x,x x,x 6,0 6,0 6,0 6,0
6,0 6,0 6,0 6,0 6,0 6,0 6,0 6,0 6,0 6,0 6,0 6,0 6,0 6,0 6,0 6,0 6,0 6,0 6,0 6,0
6,0 6,0 6,0 6,0 6,0 6,0 6,0 6,0 6,0 6,0 6,0 6,0 6,0 6,0 6,0 6,0 6,0 6,0 6,0 6,0
6,0 6,0 6,0 6,0 6,0 6,0 6,0 6,0 6,0 6,0 6,0 6,0 6,0 6,0 6,0 6,0 6,0 6,0 6,0 6,0
6,0 6,0 6,0 6,0 6,0 6,0 6,0 6,0 6,0 6,0 6,0 6,0 6,0 6,0 6,0 6,0 6,0 6,0 6,0 6,0
6,0 6,0 6,0 6,0 6,0 6,0 6,0 6,0 6,0 6,0 6,0 6,0 6,0 6,0 6,0 6,0 6,0 6,0 6,0 6,0
